ward,zip,percentage_intersection
1,60622,38.406189600810784
10,60617,58.21184660121047
11,60609,50.42048200001267
12,60632,33.35746227258922
13,60629,66.77824579158889
14,60632,87.60165051696973
15,60636,51.30805314436628
16,60609,40.28126270383019
17,60636,40.532125049651505
18,60652,56.54235058839306
19,60655,53.01414388527036
2,60612,26.418747738283187
20,60637,58.28396340163937
21,60620,76.04982170853049
22,60623,80.84462169127599
23,60638,78.15717790690692
24,60623,56.738318207550066
25,60608,66.62512696427078
26,60622,37.484327271695385
27,60612,24.833879903159282
28,60624,44.7705331907107
29,60644,46.184606134500214
3,60609,44.96178933107496
30,60639,28.951613592152636
31,60639,61.01584100326908
32,60614,32.53143575648541
33,60618,67.36756064571873
34,60643,50.380456183635516
35,60647,56.24227986109184
36,60634,66.3514239533954
37,60651,63.21347576986592
38,60634,49.57092080855286
39,60630,26.6797655884089
4,60653,42.18941256166732
40,60625,35.58767615087458
41,60666,56.22819494512732
42,60611,31.79078510877142
43,60614,88.06449710919027
44,60657,78.08948217713078
45,60630,58.41226156351146
46,60640,50.523918854274875
47,60618,34.12658286344067
48,60640,55.09558230366718
49,60626,81.03180095767414
5,60637,46.01804194513858
50,60645,63.62848694284797
6,60619,61.73792669472662
7,60617,74.28092462351647
8,60619,41.317150019548684
9,60628,74.18186583088008
OUT,60656,98.28821618063353
