ZIP,intersection_area,total_area,percentage_coverage
60607,1.9271568359891424e-09,0.0006515336856823411,0.00029578775101564566
60608,0.0010339479686617406,0.0017776987637308703,58.162158277692996
60609,0.0010695567655118695,0.0021489843898934964,49.7703366549292
60610,3.5520255322977555e-05,0.00031851502674506467,11.151830318953056
60612,0.0005675623371404371,0.0010753655405278616,52.77854978148541
60613,3.8957919902057254e-09,0.0005446637356623654,0.000715265536353004
60614,8.267233191571571e-11,0.0009524531635096663,8.679936723720766e-06
60615,0.0003456363135499061,0.0006699301957394207,51.59288471367045
60616,0.00019491373473843408,0.0011044538945625,17.64797387179697
60617,0.002086290385309647,0.004551132029923943,45.84113076905203
60619,0.0009170021291812225,0.0016880004303756278,54.32475683535007
60620,0.001274914466796105,0.002128543638939982,59.896092495947805
60621,0.001056215557983764,0.0010537858603773317,100.23056843878719
60622,1.9057928645057798e-05,0.000714215679191302,2.6683716418318997
60623,0.001036314083854233,0.0015639908016872326,66.26088099343409
60624,0.0010011212210610403,0.0010018106842991767,99.93117829057506
60626,0.00011884612216495245,0.0004964561929295522,23.93889407716924
60628,0.0023510276447766707,0.003468731499318609,67.77773503767882
60629,0.0005152493822401502,0.0021238933976081816,24.25966307067941
60632,0.00023163586321347287,0.0021315288925505865,10.867122844218054
60633,0.0006614124116018758,0.0018831761064167514,35.122175209645725
60636,0.0009066096181917299,0.0010474297526877755,86.55564880272956
60637,0.0009456634278096976,0.001261893678735447,74.94002416727803
60638,7.130856391000021e-05,0.0016720705495187648,4.26468631545023
60639,0.00023238551710324411,0.0012853377641109148,18.07972375759054
60640,7.803808828378466e-05,0.0007800672029109091,10.004021191068757
60641,3.4319625705441196e-05,0.0011489381276107672,2.987073444660535
60643,0.0003907308340702376,0.0018704601034204692,20.889557246140495
60644,0.0007709936131518626,0.0009985257777951702,77.21319071544472
60647,5.39854669415158e-05,0.0010693213729242666,5.048572703067
60649,0.0006878288695857452,0.0008099438796303598,84.92302823495066
60651,0.0006324326862312865,0.0009983328555603153,63.348880356775695
60652,1.0924777344444544e-09,0.0012902612698145004,8.46710476399496e-05
60653,0.00044359088699837595,0.0006821367359258675,65.02961409874632
60660,5.113881677369899e-05,0.00038340438648599973,13.338088602063076
60707,3.3034570780122894e-10,0.0004892316808387453,6.752336791331252e-05
60827,0.0004861075882696696,0.00048750977182137196,99.71237837008606
